state_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
41,50006,5175,9941,395000.0,105500.0,0.10348758149022118,2022
41,35625,4165,6273,385000.0,113000.0,0.11691228070175438,2023
42,125554,15157,45180,155000.0,66000.0,0.12072096468451822,2018
42,129457,16031,48582,165000.0,67500.0,0.12383262396007941,2019
42,135093,17033,54086,175000.0,69000.0,0.1260835128393033,2020
42,151377,21838,59086,195000.0,70000.0,0.14426233840015326,2021
42,125892,18295,48476,215000.0,79500.0,0.1453229752486258,2022
42,98689,14697,35778,220000.0,87000.0,0.14892237230086433,2023
44,11435,1690,3945,225000.0,75000.0,0.14779186707477043,2018
44,12031,1916,4080,245000.0,76250.0,0.15925525725209874,2019
44,12880,2278,4848,275000.0,78500.0,0.17686335403726708,2020
44,13399,2569,4471,315000.0,82000.0,0.19173072617359505,2021
44,10745,2140,3238,340000.0,94000.0,0.1991624011167985,2022
44,7707,1475,1688,370000.0,110000.0,0.1913844556896328,2023
45,74185,12043,22582,155000.0,59500.0,0.16233739974388353,2018
45,78882,13145,25430,165000.0,60500.0,0.1666413123399508,2019
45,88746,15301,30123,175000.0,60500.0,0.1724134045478106,2020
45,95384,17424,30271,205000.0,64000.0,0.18267214627191145,2021
45,80206,14315,23140,235000.0,73000.0,0.17847791935765403,2022
45,67914,12382,16942,235000.0,82500.0,0.1823188149718762,2023
46,10446,469,4039,155000.0,64000.0,0.04489756844725254,2018
46,10407,475,4356,165000.0,64000.0,0.0456423561064668,2019
46,11777,556,5044,175000.0,65000.0,0.04721066485522629,2020
46,11925,601,4788,195000.0,68000.0,0.05039832285115304,2021
46,10085,563,3551,215000.0,78000.0,0.05582548339117501,2022
46,7886,492,2505,225000.0,87500.0,0.062389043875221914,2023
47,88014,10177,25800,155000.0,59000.0,0.11562933169722998,2018
47,93835,10776,28777,165000.0,60500.0,0.1148398785101508,2019
47,104857,12565,34053,190000.0,62000.0,0.11982986352842442,2020
47,105505,13266,31460,220000.0,65500.0,0.12573811667693474,2021
47,88308,11046,22850,255000.0,77000.0,0.12508493001766544,2022
47,73569,9953,16263,260000.0,86000.0,0.13528796096181817,2023
48,330532,104439,74495,170000.0,72000.0,0.31597243232122757,2018
48,353871,113189,83397,185000.0,74000.0,0.31985949682228837,2019
48,401219,132103,103591,195000.0,74000.0,0.32925409813593076,2020
48,412749,137554,96238,225000.0,77000.0,0.3332630727148945,2021
48,361329,121413,73228,255000.0,91000.0,0.3360178673729482,2022
48,312353,113239,60142,265000.0,98500.0,0.36253533662234716,2023
49,52341,5672,18367,265000.0,70750.0,0.10836629028868382,2018
49,53143,5717,19058,285000.0,73000.0,0.10757766780196827,2019
49,60326,6453,22754,315000.0,75000.0,0.106968802837914,2020
49,55530,6524,17832,375000.0,83000.0,0.11748604358004683,2021
49,42571,5619,10221,430000.0,102000.0,0.13199126165699654,2022
49,33439,4723,6995,415000.0,110000.0,0.1412422620293669,2023
50,5650,114,2019,180000.0,73000.0,0.020176991150442476,2018
50,5895,117,2042,185000.0,77000.0,0.01984732824427481,2019
50,6388,152,2140,215000.0,81000.0,0.023794614902943018,2020
50,6732,156,2299,235000.0,85000.0,0.023172905525846704,2021
50,5376,197,1738,255000.0,92500.0,0.03664434523809524,2022
50,4108,120,1162,265000.0,107250.0,0.029211295034079845,2023
51,111493,22196,33054,235000.0,76000.0,0.19907976285506712,2018
51,117984,23119,36067,245000.0,78000.0,0.19595029834553837,2019
51,130662,26221,42535,265000.0,79000.0,0.200678085441827,2020
51,145873,31164,47030,285000.0,81000.0,0.2136378904937857,2021
51,114317,24313,34248,310000.0,95000.0,0.21268052870526694,2022
51,86418,18783,23097,320000.0,104000.0,0.21735055196833994,2023
53,106605,13501,23945,310000.0,90000.0,0.1266450916936354,2018
