county_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
06057,1158,38,151,340000.0,96500.0,0.0328151986183074,2018
06059,21741,5018,3423,530000.0,137000.0,0.2308081504990571,2018
06061,6250,706,639,387500.0,116250.0,0.11296,2018
06063,227,13,57,200000.0,72000.0,0.0572687224669603,2018
06065,27257,10617,3312,325000.0,87000.0,0.3895146200975896,2018
06067,17727,4776,4095,315000.0,89500.0,0.2694195295312235,2018
06069,937,396,65,495000.0,120000.0,0.4226254002134472,2018
06071,19797,9657,3343,305000.0,80000.0,0.4878011819972723,2018
06073,28707,6280,4607,455000.0,114250.0,0.2187619744313233,2018
06075,4454,772,359,945000.0,265000.0,0.1733273462056578,2018
06077,7955,3233,732,295000.0,80000.0,0.4064110622250157,2018
06079,2586,237,268,455000.0,119500.0,0.0916473317865429,2018
06081,4593,1102,348,910000.0,251000.0,0.2399303287611582,2018
06083,2904,792,745,470000.0,128000.0,0.2727272727272727,2018
06085,13543,4054,630,835000.0,218500.0,0.2993428339363508,2018
06087,1681,186,243,585000.0,156500.0,0.1106484235574063,2018
06089,2345,140,469,225000.0,77000.0,0.0597014925373134,2018
06091,35,3,8,285000.0,77000.0,0.0857142857142857,2018
06093,367,14,92,155000.0,63500.0,0.0381471389645776,2018
06095,4955,1529,628,385000.0,103000.0,0.3085771947527749,2018
06097,3527,433,425,485000.0,135500.0,0.1227672242699177,2018
06099,5414,2132,609,270000.0,75250.0,0.3937938677502771,2018
06101,952,232,121,265000.0,81500.0,0.2436974789915966,2018
06103,645,103,127,200000.0,68000.0,0.1596899224806201,2018
06105,55,1,10,205000.0,86250.0,0.0181818181818181,2018
06107,3901,2028,781,195000.0,62000.0,0.5198667008459369,2018
06109,575,28,111,252500.0,85000.0,0.048695652173913,2018
06111,6847,1548,1073,480000.0,120000.0,0.226084416532788,2018
06113,1638,350,264,370000.0,109000.0,0.2136752136752136,2018
06115,1161,261,164,215000.0,58500.0,0.2248062015503876,2018
